SBA Disaster Loan Data,,,,,,,Report Run Date:  3/19/2019 ,,,,,,,
,,,,,,,Report Run Time:   9:57:31AM,,,,,,,
Reporting Period:  10/01/2017 - 09/30/2018,,,,,,,,,,,,,,
Declaration Type(s): 'ALL' ,,,,,,,,,,,,,,
SBA Physical Declaration Number,SBA EIDL Declaration Number,FEMA Disaster Number,SBA Disaster Number,Damaged Property City Name,Damaged Property Zip Code,Damaged Property County/Parish Name,Damaged Property State Code,Total Verified Loss,Verified Loss Real Estate,Verified Loss Content,Total Approved Loan Amount,Approved Amount Real Estate,Approved Amount Content,Approved Amount EIDL
,15359,,FL-00133,FORT MYERS,33919,LEE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,FORT MYERS BEACH,33931,LEE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,GREEN COVE SPRINGS,32043,CLAY,FL,0.00,0.00,0.00,"20,000.00",0.00,0.00,"20,000.00"
,15359,,FL-00133,HALLANDALE BEACH,33009,BROWARD,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,HIALEAH,33010,MIAMI-DADE,FL,0.00,0.00,0.00,"80,000.00",0.00,0.00,"80,000.00"
,15359,,FL-00133,HIALEAH,33014,MIAMI-DADE,FL,0.00,0.00,0.00,"5,000.00",0.00,0.00,"5,000.00"
,15359,,FL-00133,HOLLYWOOD,33021,BROWARD,FL,0.00,0.00,0.00,"18,200.00",0.00,0.00,"18,200.00"
,15359,,FL-00133,HOLMES BEACH,34217,MANATEE,FL,0.00,0.00,0.00,"50,000.00",0.00,0.00,"50,000.00"
,15359,,FL-00133,HOMESTEAD,33031,MIAMI-DADE,FL,0.00,0.00,0.00,"5,600.00",0.00,0.00,"5,600.00"
,15359,,FL-00133,HOMESTEAD,33035,MIAMI-DADE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,INDIAN ROCKS BEACH,33785,PINELLAS,FL,0.00,0.00,0.00,"4,700.00",0.00,0.00,"4,700.00"
,15359,,FL-00133,ISLAMORADA,33036,MONROE,FL,0.00,0.00,0.00,"39,200.00",0.00,0.00,"39,200.00"
,15359,,FL-00133,KEY LARGO,33037,MONROE,FL,0.00,0.00,0.00,"100,000.00",0.00,0.00,"100,000.00"
,15359,,FL-00133,KEY WEST,33040,MONROE,FL,0.00,0.00,0.00,"437,400.00",0.00,0.00,"437,400.00"
,15359,,FL-00133,KISSIMMEE,34744,OSCEOLA,FL,0.00,0.00,0.00,"15,000.00",0.00,0.00,"15,000.00"
,15359,,FL-00133,LAKE CITY,32055,COLUMBIA,FL,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
,15359,,FL-00133,LAKE MARY,32746,SEMINOLE,FL,0.00,0.00,0.00,"22,100.00",0.00,0.00,"22,100.00"
,15359,,FL-00133,LAKE WORTH,33462,PALM BEACH,FL,0.00,0.00,0.00,"43,400.00",0.00,0.00,"43,400.00"
,15359,,FL-00133,LAKE WORTH,33463,PALM BEACH,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,LARGO,33771,PINELLAS,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,LAUDERHILL,33311,BROWARD,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,LEESBURG,34748,LAKE,FL,0.00,0.00,0.00,"80,000.00",0.00,0.00,"80,000.00"
,15359,,FL-00133,LEHIGH ACRES,33971,LEE,FL,0.00,0.00,0.00,"450,000.00",0.00,0.00,"450,000.00"
,15359,,FL-00133,LIGHTHOUSE POINT,33064,BROWARD,FL,0.00,0.00,0.00,"21,500.00",0.00,0.00,"21,500.00"
,15359,,FL-00133,LUTZ,33548,HILLSBOROUGH,FL,0.00,0.00,0.00,"75,000.00",0.00,0.00,"75,000.00"
,15359,,FL-00133,LUTZ,33549,HILLSBOROUGH,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,MADEIRA BEACH,33708,PINELLAS,FL,0.00,0.00,0.00,"22,000.00",0.00,0.00,"22,000.00"
,15359,,FL-00133,MARATHON,33050,MONROE,FL,0.00,0.00,0.00,"558,200.00",0.00,0.00,"558,200.00"
,15359,,FL-00133,MARCO ISLAND,34145,COLLIER,FL,0.00,0.00,0.00,"230,200.00",0.00,0.00,"230,200.00"
,15359,,FL-00133,MEDLEY,33178,MIAMI-DADE,FL,0.00,0.00,0.00,"50,000.00",0.00,0.00,"50,000.00"
,15359,,FL-00133,MIAMI,33122,MIAMI-DADE,FL,0.00,0.00,0.00,"91,500.00",0.00,0.00,"91,500.00"
,15359,,FL-00133,MIAMI,33132,MIAMI-DADE,FL,0.00,0.00,0.00,"120,000.00",0.00,0.00,"120,000.00"
,15359,,FL-00133,MIAMI,33134,MIAMI-DADE,FL,0.00,0.00,0.00,"50,000.00",0.00,0.00,"50,000.00"
,15359,,FL-00133,MIAMI,33137,MIAMI-DADE,FL,0.00,0.00,0.00,"44,000.00",0.00,0.00,"44,000.00"
,15359,,FL-00133,MIAMI,33138,MIAMI-DADE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,MIAMI,33142,MIAMI-DADE,FL,0.00,0.00,0.00,"100,000.00",0.00,0.00,"100,000.00"
,15359,,FL-00133,MIAMI,33145,MIAMI-DADE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,MIAMI,33147,MIAMI-DADE,FL,0.00,0.00,0.00,"53,000.00",0.00,0.00,"53,000.00"
,15359,,FL-00133,MIAMI,33155,MIAMI-DADE,FL,0.00,0.00,0.00,"17,800.00",0.00,0.00,"17,800.00"
,15359,,FL-00133,MIAMI,33157,MIAMI-DADE,FL,0.00,0.00,0.00,"94,800.00",0.00,0.00,"94,800.00"
,15359,,FL-00133,MIAMI,33166,MIAMI-DADE,FL,0.00,0.00,0.00,"135,300.00",0.00,0.00,"135,300.00"
,15359,,FL-00133,MIAMI,33172,MIAMI-DADE,FL,0.00,0.00,0.00,"175,000.00",0.00,0.00,"175,000.00"
,15359,,FL-00133,MIAMI,33173,MIAMI-DADE,FL,0.00,0.00,0.00,"66,100.00",0.00,0.00,"66,100.00"
,15359,,FL-00133,MIAMI,33175,MIAMI-DADE,FL,0.00,0.00,0.00,"33,600.00",0.00,0.00,"33,600.00"
,15359,,FL-00133,MIAMI,33177,MIAMI-DADE,FL,0.00,0.00,0.00,"4,000.00",0.00,0.00,"4,000.00"
,15359,,FL-00133,MIAMI,33186,MIAMI-DADE,FL,0.00,0.00,0.00,"190,500.00",0.00,0.00,"190,500.00"
,15359,,FL-00133,MIAMI,33193,MIAMI-DADE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,MIAMI BEACH,33141,MIAMI-DADE,FL,0.00,0.00,0.00,"15,000.00",0.00,0.00,"15,000.00"
,15359,,FL-00133,MIAMI GARDENS,33169,MIAMI-DADE,FL,0.00,0.00,0.00,"15,000.00",0.00,0.00,"15,000.00"
,15359,,FL-00133,MIAMI SPRINGS,33166,MIAMI-DADE,FL,0.00,0.00,0.00,"9,900.00",0.00,0.00,"9,900.00"
,15359,,FL-00133,MIRAMAR,33025,BROWARD,FL,0.00,0.00,0.00,"145,400.00",0.00,0.00,"145,400.00"
,15359,,FL-00133,MORRISTON,32668,LEVY,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,N MIAMI BEACH,33179,MIAMI-DADE,FL,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
,15359,,FL-00133,NAPLES,34102,COLLIER,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,NAPLES,34103,COLLIER,FL,0.00,0.00,0.00,"105,000.00",0.00,0.00,"105,000.00"
,15359,,FL-00133,NAPLES,34109,COLLIER,FL,0.00,0.00,0.00,"110,000.00",0.00,0.00,"110,000.00"
,15359,,FL-00133,NAPLES,34114,COLLIER,FL,0.00,0.00,0.00,"267,600.00",0.00,0.00,"267,600.00"
,15359,,FL-00133,NAPLES,34116,COLLIER,FL,0.00,0.00,0.00,"50,000.00",0.00,0.00,"50,000.00"
,15359,,FL-00133,NAPLES,34120,COLLIER,FL,0.00,0.00,0.00,"53,000.00",0.00,0.00,"53,000.00"
,15359,,FL-00133,NEW PORT RICHEY,34653,PASCO,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,NORTH MIAMI,33168,MIAMI-DADE,FL,0.00,0.00,0.00,"43,000.00",0.00,0.00,"43,000.00"
,15359,,FL-00133,NORTH MIAMI,33181,MIAMI-DADE,FL,0.00,0.00,0.00,"130,400.00",0.00,0.00,"130,400.00"
,15359,,FL-00133,NORTH MIAMI BEACH,33162,MIAMI-DADE,FL,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
,15359,,FL-00133,OAKLAND PARK,33309,BROWARD,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,OAKLAND PARK,33334,BROWARD,FL,0.00,0.00,0.00,"150,000.00",0.00,0.00,"150,000.00"
,15359,,FL-00133,OCALA,34470,MARION,FL,0.00,0.00,0.00,"200,000.00",0.00,0.00,"200,000.00"
,15359,,FL-00133,ORLANDO,32807,ORANGE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,ORLANDO,32814,ORANGE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,ORLANDO,32818,ORANGE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,ORLANDO,32819,ORANGE,FL,0.00,0.00,0.00,"25,000.00",0.00,0.00,"25,000.00"
,15359,,FL-00133,ORLANDO,32824,ORANGE,FL,0.00,0.00,0.00,"57,200.00",0.00,0.00,"57,200.00"
,15359,,FL-00133,ORLANDO,32835,ORANGE,FL,0.00,0.00,0.00,"280,000.00",0.00,0.00,"280,000.00"
